mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
244201000,Under way using engine,14.5,137.5,136.0,Cargo,23.0,151.0,6.6
257048880,Under way using engine,10.0,339.7,346.0,Cargo,13.0,111.0,5.7
266465000,Under way using engine,13.3,147.0,145.0,Tanker,19.0,120.0,7.8
244201000,Under way using engine,14.8,135.6,136.0,Cargo,23.0,151.0,6.6
266465000,Under way using engine,13.3,146.4,145.0,Tanker,19.0,120.0,7.8
257048880,Under way using engine,9.6,341.6,342.0,Cargo,13.0,111.0,5.7
265509950,Under way using engine,12.3,173.1,170.0,Passenger,8.0,34.0,2.8
566579000,Under way using engine,12.0,197.0,199.0,Tanker,28.0,184.0,7.0
244201000,Under way using engine,15.0,131.9,135.0,Cargo,23.0,151.0,6.6
275334000,Under way using engine,8.4,227.0,227.0,Cargo,10.0,65.0,2.2
